db	id	synonym	preferred
OMIM	104200	ALPORT SYNDROME, AUTOSOMAL DOMINANT	TRUE
OMIM	105120	AMYLOIDOSIS, FINNISH TYPE	TRUE
OMIM	105250	AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 1; PLCA1	TRUE
OMIM	105830	ANGELMAN SYNDROME	TRUE
OMIM	106260	ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT LIP/PALATE	TRUE
OMIM	107250	ANTERIOR SEGMENT DYSGENESIS 1; ASGD1	TRUE
OMIM	107320	ANTIPHOSPHOLIPID SYNDROME, FAMILIAL	TRUE
OMIM	107480	TOWNES-BROCKS SYNDROME 1; TBS1	TRUE
OMIM	107550	AORTIC ARCH INTERRUPTION, FACIAL PALSY, AND RETINAL COLOBOMA	TRUE
OMIM	107680	APOLIPOPROTEIN A-I; APOA1	TRUE
OMIM	108050	ARTERITIS, FAMILIAL GRANULOMATOUS, WITH JUVENILE POLYARTHRITIS	TRUE
OMIM	108120	ARTHROGRYPOSIS, DISTAL, TYPE 1A; DA1A	TRUE
OMIM	108145	ARTHROGRYPOSIS, DISTAL, TYPE 5; DA5	TRUE
OMIM	108145	ARTHROGRYPOSIS WITH OCULOMOTOR LIMITATION AND ELECTRORETINAL ABNORMALITIES	FALSE
OMIM	108145	OCULOMELIC AMYOPLASIA	FALSE
OMIM	108145	ARTHROGRYPOSIS, DISTAL, TYPE IIB; DAIIB	FALSE
OMIM	108320	ARTICHOKE, MODIFICATION OF TASTE BY	TRUE
OMIM	108650	SPASTIC ATAXIA 7, AUTOSOMAL DOMINANT; SPAX7	TRUE
OMIM	108650	SPASTIC ATAXIA WITH CONGENITAL MIOSIS	FALSE
OMIM	108650	MIOSIS, CONGENITAL, WITH SPASTIC ATAXIA	FALSE
OMIM	108721	ATELOSTEOGENESIS, TYPE III; AOIII	TRUE
OMIM	108721	AO3	FALSE
OMIM	109120	AXENFELD-RIEGER ANOMALY WITH PARTIALLY ABSENT EYE MUSCLES, DISTINCTIVE FACE, HYDROCEPHALY, AND SKELETAL ABNORMALITIES	TRUE
OMIM	109150	MACHADO-JOSEPH DISEASE; MJD	TRUE
OMIM	109160	AZOTEMIA, FAMILIAL	TRUE
OMIM	109200	ALOPECIA, ANDROGENETIC, 1	TRUE
OMIM	109400	BASAL CELL NEVUS SYNDROME	TRUE
OMIM	109650	BEHCET SYNDROME	TRUE
OMIM	109820	BLADDER DIVERTICULUM	TRUE
OMIM	110100	BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS	TRUE
OMIM	112450	BRACHYDACTYLY, PREAXIAL, WITH HALLUX VARUS AND THUMB ABDUCTION	TRUE
OMIM	112450	CHRISTIAN BRACHYDACTYLY	FALSE
OMIM	112500	BRACHYDACTYLY, TYPE A1; BDA1	TRUE
OMIM	112500	FARABEE-TYPE BRACHYDACTYLY	FALSE
OMIM	112910	BRACHYDACTYLY, TYPE A6	TRUE
OMIM	113300	BRACHYDACTYLY, TYPE E	TRUE
OMIM	113450	BRACHYDACTYLY-DISTAL SYMPHALANGISM SYNDROME	TRUE
OMIM	113620	BRANCHIOOCULOFACIAL SYNDROME	TRUE
OMIM	113650	BRANCHIOOTORENAL SYNDROME 1	TRUE
OMIM	113670	BREAST, UNILATERAL GIANT	TRUE
OMIM	114150	CAMPTOBRACHYDACTYLY	TRUE
OMIM	115150	CARDIOFACIOCUTANEOUS SYNDROME 1; CFC1	TRUE
OMIM	115250	COLLAGENOMA, FAMILIAL CUTANEOUS	TRUE
OMIM	115310	PARAGANGLIOMAS 4	TRUE
OMIM	115645	CATARACT, ABERRANT ORAL FRENULA, AND GROWTH RETARDATION	TRUE
OMIM	115650	CATARACT, ANTERIOR POLAR, 1	TRUE
OMIM	116300	CATARACT 30, MULTIPLE TYPES	TRUE
OMIM	116600	CATARACT, POSTERIOR POLAR, 1 CTPA CATARACT, CONGENITAL TOTAL, INCLUDED	TRUE
OMIM	116800	CATARACT, LAMELLAR	TRUE
OMIM	116800	CATARACT, ZONULAR	FALSE
OMIM	116800	PERINUCLEAR CATARACTCATARACT, MARNER TYPE, INCLUDED; CAM, INCLUDED	FALSE
OMIM	116800	CTM, INCLUDED	FALSE
OMIM	117300	DEMENTIA, FAMILIAL DANISH	TRUE
OMIM	118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT; KFS1	TRUE
OMIM	118200	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1B; CMT1B	TRUE
OMIM	118220	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1A	TRUE
OMIM	118230	CHARCOT-MARIE-TOOTH DISEASE, GUADALAJARA NEURONAL TYPE	TRUE
OMIM	118301	CHARCOT-MARIE-TOOTH DISEASE WITH PTOSIS AND PARKINSONISM	TRUE
OMIM	118430	CHLORPROPAMIDE-ALCOHOL FLUSHING; CPAF	TRUE
OMIM	118450	ALAGILLE SYNDROME 1; ALGS1	TRUE
OMIM	118800	PAROXYSMAL NONKINESIGENIC DYSKINESIA 1; PNKD1	TRUE
OMIM	118800	PAROXYSMAL DYSTONIC CHOREOATHETOSIS; PDC	FALSE
OMIM	118800	CHOREOATHETOSIS, FAMILIAL PAROXYSMAL; FPD1	FALSE
OMIM	118800	MOUNT-REBACK SYNDROME	FALSE
OMIM	118800	CHOREOATHETOSIS, NONKINESIGENIC	FALSE
OMIM	118800	DYSTONIA 8; DYT8	FALSE
OMIM	118865	CHOROIDAL OSTEOMA, BILATERAL	TRUE
OMIM	119300	VAN DER WOUDE SYNDROME	TRUE
OMIM	119500	POPLITEAL PTERYGIUM SYNDROME	TRUE
OMIM	119600	CLEIDOCRANIAL DYSPLASIA; CCD	TRUE
OMIM	120100	FAMILIAL COLD AUTOINFLAMMATORY SYNDROME 1	TRUE
OMIM	120300	COLOBOMA OF MACULA	TRUE
OMIM	120330	PAPILLORENAL SYNDROME	TRUE
OMIM	121300	COPROPORPHYRIA, HEREDITARY; HCP	TRUE
OMIM	121300	COPROPORPHYRINOGEN OXIDASE DEFICIENCY	FALSE
OMIM	121300	CPOX DEFICIENCY	FALSE
OMIM	121300	CPO DEFICIENCY	FALSE
OMIM	121300	CPX DEFICIENCYHARDEROPORPHYRIA, INCLUDED	FALSE
OMIM	121390	CORNEA GUTTATA WITH ANTERIOR POLAR CATARACTS	TRUE
OMIM	122000	CORNEAL DYSTROPHY, POSTERIOR POLYMORPHOUS, 1	TRUE
OMIM	122200	CORNEAL DYSTROPHY, LATTICE TYPE I	TRUE
OMIM	122470	CORNELIA DE LANGE SYNDROME 1	TRUE
OMIM	122580	COSTOCORACOID LIGAMENT, CONGENITALLY SHORT	TRUE
OMIM	122600	SPONDYLOCOSTAL DYSOSTOSIS 5	TRUE
OMIM	122860	CRANIODIAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT; CDD	TRUE
OMIM	123000	CRANIOMETAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT	TRUE
OMIM	123150	JACKSON-WEISS SYNDROME; JWS	TRUE
OMIM	123150	CRANIOSYNOSTOSIS, MIDFACIAL HYPOPLASIA, AND FOOT ABNORMALITIES	FALSE
OMIM	123450	CRI-DU-CHAT SYNDROME	TRUE
OMIM	123570	CRYPTOPHTHALMOS, UNILATERAL OR BILATERAL, ISOLATED; CRYPTOP	TRUE
OMIM	125250	OPTIC ATROPHY WITH OR WITHOUT DEAFNESS, OPHTHALMOPLEGIA, MYOPATHY, ATAXIA, AND NEUROPATHY	TRUE
OMIM	125400	DENTIN DYSPLASIA, TYPE I; DTDP1	TRUE
OMIM	125400	DENTIN DYSPLASIA, SHIELDS TYPE I	FALSE
OMIM	125400	ROOTLESS TEETH	FALSE
OMIM	125400	RADICULAR DENTIN DYSPLASIADENTIN DYSPLASIA, TYPE I, WITH EXTREME MICRODONTIA AND MISSHAPEN TEETH,INCLUDED	FALSE
OMIM	125500	DENTINOGENESIS IMPERFECTA, SHIELDS TYPE III	TRUE
OMIM	125595	DERMATOPATHIA PIGMENTOSA RETICULARIS; DPR	TRUE
OMIM	125630	DERMODISTORTIVE URTICARIA	TRUE
OMIM	125800	DIABETES INSIPIDUS, NEPHROGENIC, AUTOSOMAL	TRUE
OMIM	126200	MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO	TRUE
OMIM	126800	DUANE RETRACTION SYNDROME 1	TRUE
OMIM	127000	KENNY-CAFFEY SYNDROME, TYPE 2; KCS2	TRUE
OMIM	127300	LERI-WEILL DYSCHONDROSTEOSIS	TRUE
OMIM	129400	RAPP-HODGKIN SYNDROME; RHS	TRUE
OMIM	129400	ECTODERMAL DYSPLASIA, ANHIDROTIC, WITH CLEFT LIP/PALATEOROFACIAL CLEFT 8, INCLUDED; OFC8, INCLUDED	FALSE
OMIM	129400	CLEFT LIP WITH OR WITHOUT CLEFT PALATE, NONSYNDROMIC, 8, INCLUDED	FALSE
OMIM	129900	ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND CLEFT LIP/PALATE SYNDROME1; EEC1	TRUE
OMIM	129900	EEC	FALSE
OMIM	129900	EEC SYNDROME 1	FALSE
OMIM	130000	EHLERS-DANLOS SYNDROME, TYPE I	TRUE
OMIM	130010	EHLERS-DANLOS SYNDROME, CLASSIC TYPE, 2; EDSCL2	TRUE
OMIM	130050	EHLERS-DANLOS SYNDROME, VASCULAR TYPE; EDSVASC	TRUE
OMIM	130090	EHLERS-DANLOS SYNDROME, AUTOSOMAL DOMINANT, TYPE UNSPECIFIED	TRUE
OMIM	130650	BECKWITH-WIEDEMANN SYNDROME	TRUE
OMIM	133100	ERYTHROCYTOSIS, FAMILIAL, 1; ECYT1	TRUE
OMIM	133100	POLYCYTHEMIA, PRIMARY FAMILIAL AND CONGENITAL; PFCP	FALSE
OMIM	133100	ERYTHROCYTOSIS, AUTOSOMAL DOMINANT BENIGN	FALSE
OMIM	133540	COCKAYNE SYNDROME, TYPE B; CSB	TRUE
OMIM	133540	CKN2	FALSE
OMIM	133700	EXOSTOSES, MULTIPLE, TYPE I	TRUE
OMIM	133701	EXOSTOSES, MULTIPLE, TYPE II	TRUE
OMIM	133780	EXUDATIVE VITREORETINOPATHY 1; EVR1	TRUE
OMIM	133780	EXUDATIVE VITREORETINOPATHY, FAMILIAL, AUTOSOMAL DOMINANT	FALSE
OMIM	133780	FEVR, AUTOSOMAL DOMINANT	FALSE
OMIM	133780	CRISWICK-SCHEPENS SYNDROMERETINOPATHY OF PREMATURITY, INCLUDED; ROP, INCLUDED	FALSE
OMIM	134000	FACIAL HYPERTRICHOSIS	TRUE
OMIM	134540	FACTOR IX AND FACTOR XI, COMBINED DEFICIENCY OF	TRUE
OMIM	134610	FAMILIAL MEDITERRANEAN FEVER, AUTOSOMAL DOMINANT	TRUE
OMIM	134610	FMF, AUTOSOMAL DOMINANT	FALSE
OMIM	135150	BIRT-HOGG-DUBE SYNDROME	TRUE
OMIM	135500	ZIMMERMANN-LABAND SYNDROME 1	TRUE
OMIM	135700	FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 1; CFEOM1	TRUE
OMIM	135900	COFFIN-SIRIS SYNDROME 1; CSS1	TRUE
OMIM	136480	FOURTH CRANIAL NERVE PALSY, FAMILIAL CONGENITAL	TRUE
OMIM	136680	FRASIER SYNDROME	TRUE
OMIM	137575	GIGANTIFORM CEMENTOMA, FAMILIAL	TRUE
OMIM	137940	HYPOTRICHOSIS-LYMPHEDEMA-TELANGIECTASIA-RENAL DEFECT SYNDROME; HLTRS	TRUE
OMIM	138770	GMS SYNDROME	TRUE
OMIM	138770	GONIODYSGENESIS--MENTAL RETARDATION--SHORT STATURE SYNDROME	FALSE
OMIM	138800	GOITER, MULTINODULAR 1	TRUE
OMIM	139500	HAIRY EARS	TRUE
OMIM	140000	HAND-FOOT-GENITAL SYNDROME; HFG	TRUE
OMIM	140700	HEINZ BODY ANEMIAS	TRUE
OMIM	141300	HEMIFACIAL ATROPHY, PROGRESSIVE; HFA	TRUE
OMIM	141500	MIGRAINE, FAMILIAL HEMIPLEGIC, 1; FHM1	TRUE
OMIM	141500	FHM	FALSE
OMIM	141500	MHP1MIGRAINE, FAMILIAL HEMIPLEGIC 1, WITH PROGRESSIVE CEREBELLAR ATAXIA,INCLUDED	FALSE
OMIM	141500	MIGRAINE, SPORADIC HEMIPLEGIC, INCLUDED	FALSE
OMIM	141700	HEMOLYTIC POIKILOCYTIC ANEMIA DUE TO REDUCED ANKYRIN BINDING SITES	TRUE
OMIM	141750	ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, CHROMOSOME 16-RELATED	TRUE
OMIM	142625	HIRSUTISM, SKELETAL DYSPLASIA, AND MENTAL RETARDATION	TRUE
OMIM	143850	ORTHOSTATIC HYPOTENSIVE DISORDER, STREETEN TYPE	TRUE
OMIM	143890	HYPERCHOLESTEROLEMIA, FAMILIAL	TRUE
OMIM	144010	HYPERCHOLESTEROLEMIA, AUTOSOMAL DOMINANT, TYPE B	TRUE
OMIM	144300	HYPERLIPOPROTEINEMIA, TYPE II, AND DEAFNESS	TRUE
OMIM	144600	HYPERLIPOPROTEINEMIA, TYPE IV	TRUE
OMIM	144750	ENDOSTEAL HYPEROSTOSIS, AUTOSOMAL DOMINANT	TRUE
OMIM	144755	HYPEROSTOSIS CRANIALIS INTERNA; HCIN	TRUE
OMIM	145001	HYPERPARATHYROIDISM 2	TRUE
OMIM	145260	PSEUDOHYPOALDOSTERONISM, TYPE II	TRUE
OMIM	145410	OPITZ GBBB SYNDROME, TYPE II; GBBB2	TRUE
OMIM	145750	HYPERTRIGLYCERIDEMIA, FAMILIAL	TRUE
OMIM	145900	HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS	TRUE
OMIM	146255	HYPOPARATHYROIDISM, SENSORINEURAL DEAFNESS, AND RENAL DISEASE	TRUE
OMIM	146500	MULTIPLE SYSTEM ATROPHY 1, SUSCEPTIBILITY TO; MSA1	TRUE
OMIM	146840	IMMUNODEFICIENCY WITH DEFECTIVE LEUKOCYTE AND LYMPHOCYTE FUNCTION AND WITH RESPONSE TO HISTAMINE-1 ANTAGONIST	TRUE
OMIM	147300	INCISORS, LONG UPPER CENTRAL	TRUE
OMIM	148210	KERATITIS-ICHTHYOSIS-DEAFNESS SYNDROME, AUTOSOMAL DOMINANT	TRUE
OMIM	148210	KID SYNDROME, AUTOSOMAL DOMINANT	FALSE
OMIM	148730	KERATOSIS, FOCAL PALMOPLANTAR AND GINGIVAL	TRUE
OMIM	148820	WAARDENBURG SYNDROME, TYPE 3; WS3	TRUE
OMIM	148820	WAARDENBURG SYNDROME WITH UPPER LIMB ANOMALIES	FALSE
OMIM	148820	WAARDENBURG SYNDROME, TYPE III	FALSE
OMIM	148820	KLEIN-WAARDENBURG SYNDROME	FALSE
OMIM	149700	LACRIMAL DUCT DEFECT	TRUE
OMIM	149730	LACRIMOAURICULODENTODIGITAL SYNDROME; LADD	TRUE
OMIM	150230	TRICHORHINOPHALANGEAL SYNDROME, TYPE II	TRUE
OMIM	150250	LARSEN SYNDROME; LRS	TRUE
OMIM	150590	LEG ULCERS, FAMILIAL, OF JUVENILE ONSET	TRUE
OMIM	150699	LEIOMYOMA, UTERINE; UL	TRUE
OMIM	150800	HEREDITARY LEIOMYOMATOSIS AND RENAL CELL CANCER; HLRCC	TRUE
OMIM	150800	MULTIPLE CUTANEOUS AND UTERINE LEIOMYOMATA 1, WITH OR WITHOUT RENALCELL CARCINOMA; MCUL1	FALSE
OMIM	150800	LEIOMYOMATOSIS AND RENAL CELL CANCER, HEREDITARY; LRCC	FALSE
OMIM	150800	LEIOMYOMA, MULTIPLE CUTANEOUS; MCL	FALSE
OMIM	151050	LENZ-MAJEWSKI HYPEROSTOTIC DWARFISM	TRUE
OMIM	151100	LEOPARD SYNDROME 1	TRUE
OMIM	151100	LENTIGINOSIS, CARDIOMYOPATHIC	FALSE
OMIM	151100	MULTIPLE LENTIGINES SYNDROME	FALSE
OMIM	151200	CHROMOSOME 8q22.1 DUPLICATION SYNDROME	TRUE
OMIM	151380	LEUKEMIA, ACUTE MONOCYTIC	TRUE
OMIM	151400	LEUKEMIA, CHRONIC LYMPHOCYTIC; CLL	TRUE
OMIM	151660	LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 2	TRUE
OMIM	153470	MACROCEPHALY, BENIGN FAMILIAL	TRUE
OMIM	153480	BANNAYAN-RILEY-RUVALCABA SYNDROME	TRUE
OMIM	153550	CHROMOSOME 5Q DELETION SYNDROME	TRUE
OMIM	153640	FECHTNER SYNDROME	TRUE
OMIM	154400	ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1	TRUE
OMIM	154500	TREACHER COLLINS-FRANCESCHETTI SYNDROME	TRUE
OMIM	154780	MARSHALL SYNDROME; MRSHS	TRUE
OMIM	155100	MACROTHROMBOCYTOPENIA AND GRANULOCYTE INCLUSIONS WITH OR WITHOUT NEPHRITIS OR SENSORINEURAL HEARING LOSS; MATINS	TRUE
OMIM	155310	VISCERAL MYOPATHY; VSCM	TRUE
OMIM	155600	MELANOMA, CUTANEOUS MALIGNANT	TRUE
OMIM	156200	MENTAL RETARDATION, AUTOSOMAL DOMINANT 1; MRD1CHROMOSOME 2q23.1 DELETION SYNDROME, INCLUDED	TRUE
OMIM	156550	KNIEST DYSPLASIA	TRUE
OMIM	156580	MICROCEPHALY, AUTOSOMAL DOMINANT	TRUE
OMIM	157170	HOLOPROSENCEPHALY 2; HPE2	TRUE
OMIM	157300	MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1	TRUE
OMIM	157900	MOEBIUS SYNDROME; MBS	TRUE
OMIM	158310	MUCOEPITHELIAL DYSPLASIA, HEREDITARY	TRUE
OMIM	158650	MUSCULAR ATROPHY, MALIGNANT NEUROGENIC	TRUE
OMIM	159550	MYELOCEREBELLAR DISORDER	TRUE
OMIM	159580	MYELOPATHY, HTLV-1-ASSOCIATED	TRUE
OMIM	159900	DYSTONIA 11, MYOCLONIC	TRUE
OMIM	160900	MYOTONIC DYSTROPHY 1	TRUE
OMIM	161200	NAIL-PATELLA SYNDROME	TRUE
OMIM	161400	NARCOLEPSY 1; NRCLP1	TRUE
OMIM	161700	NECROTIZING ENCEPHALOMYELOPATHY, SUBACUTE, OF LEIGH, ADULT	TRUE
OMIM	161950	IgA NEPHROPATHY, SUSCEPTIBILITY TO, 1; IGAN1	TRUE
OMIM	162100	AMYOTROPHY, HEREDITARY NEURALGIC; HNA	TRUE
OMIM	162100	NEURITIS WITH BRACHIAL PREDILECTION; NAPB	FALSE
OMIM	162100	BRACHIAL PLEXUS NEUROPATHY, HEREDITARY	FALSE
OMIM	162100	AMYOTROPHY, HEREDITARY NEURALGIC, WITH PREDILECTION FOR BRACHIAL PLEXUS	FALSE
OMIM	162200	NEUROFIBROMATOSIS, TYPE I	TRUE
OMIM	162240	NEUROFIBROMATOSIS-PHEOCHROMOCYTOMA-DUODENAL CARCINOID SYNDROME	TRUE
OMIM	162350	CEROID LIPOFUSCINOSIS, NEURONAL, 4B, AUTOSOMAL DOMINANT; CLN4B	TRUE
OMIM	162400	NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IA; HSAN1A	TRUE
OMIM	162820	NEUTROPHIL CHEMOTACTIC RESPONSE	TRUE
OMIM	162900	NEVUS, KERATINOCYTIC, NONEPIDERMOLYTIC	TRUE
OMIM	163200	SCHIMMELPENNING-FEUERSTEIN-MIMS SYNDROME; SFM	TRUE
OMIM	163400	NIEVERGELT SYNDROME	TRUE
OMIM	163950	NOONAN SYNDROME 1; NS1	TRUE
OMIM	163950	NOONAN SYNDROME	FALSE
OMIM	163950	MALE TURNER SYNDROME	FALSE
OMIM	163950	FEMALE PSEUDO-TURNER SYNDROME	FALSE
OMIM	163950	TURNER PHENOTYPE WITH NORMAL KARYOTYPEPTERYGIUM COLLI SYNDROME, INCLUDED	FALSE
OMIM	164180	OCULOCEREBROCUTANEOUS SYNDROME	TRUE
OMIM	164280	FEINGOLD SYNDROME 1; FGLDS1	TRUE
OMIM	164330	ODONTOMA-DYSPHAGIA SYNDROME	TRUE
OMIM	164400	SPINOCEREBELLAR ATAXIA 1	TRUE
OMIM	164500	SPINOCEREBELLAR ATAXIA 7 OPCA III OPCA WITH RETINAL DEGENERATION OPCA WITH MACULAR DEGENERATION AND EXTERNAL OPHTHALMOPLEGIA AUTOSOMAL DOMINANT CEREBELLAR ATAXIA, TYPE II ADCA, TYPE II	TRUE
OMIM	165500	OPTIC ATROPHY 1; OPA1	TRUE
OMIM	165600	ORBITAL MARGIN, HYPOPLASIA OF	TRUE
OMIM	166210	OSTEOGENESIS IMPERFECTA, TYPE IIA	TRUE
OMIM	166250	OSTEOGLOPHONIC DYSPLASIA; OGD	TRUE
OMIM	166250	OSTEOGLOPHONIC DWARFISM	FALSE
OMIM	166300	MULTICENTRIC CARPOTARSAL OSTEOLYSIS SYNDROME; MCTO	TRUE
OMIM	166400	OSTEOMAS OF MANDIBLE	TRUE
OMIM	166705	OSTEOPOIKILOSIS AND DACRYOCYSTITIS	TRUE
OMIM	166780	OTOFACIOCERVICAL SYNDROME	TRUE
OMIM	167730	NASOPALPEBRAL LIPOMA-COLOBOMA SYNDROME; NPLCS	TRUE
OMIM	167800	PANCREATITIS, HEREDITARY	TRUE
OMIM	168000	PARAGANGLIOMAS 1	TRUE
OMIM	170650	PERIODONTITIS, AGGRESSIVE, 1	TRUE
OMIM	171000	PEYRONIE DISEASE	TRUE
OMIM	171300	PHEOCHROMOCYTOMA	TRUE
OMIM	171400	MULTIPLE ENDOCRINE NEOPLASIA, TYPE IIA; MEN2A	TRUE
OMIM	171420	PHEOCHROMOCYTOMA--ISLET CELL TUMOR SYNDROME	TRUE
OMIM	171450	PHLEBECTASIA OF LIPS	TRUE
OMIM	172500	PHOTOMYOCLONUS, DIABETES MELLITUS, DEAFNESS, NEPHROPATHY, AND CEREBRALDYSFUNCTION	TRUE
OMIM	172500	HERRMANN SYNDROME	FALSE
OMIM	172700	PICK DISEASE OF BRAIN	TRUE
OMIM	172700	LOBAR ATROPHY OF BRAIN	FALSE
OMIM	172700	DEMENTIA WITH LOBAR ATROPHY AND NEURONAL CYTOPLASMIC INCLUSIONS	FALSE
OMIM	173100	ISOLATED GROWTH HORMONE DEFICIENCY, TYPE II; IGHD2	TRUE
OMIM	173100	IGHD II	FALSE
OMIM	173100	GROWTH HORMONE DEFICIENCY, ISOLATED, AUTOSOMAL DOMINANT	FALSE
OMIM	173100	PITUITARY DWARFISM DUE TO ISOLATED GROWTH HORMONE DEFICIENCY, AUTOSOMALDOMINANT	FALSE
OMIM	173470	+173470 INTEGRIN, BETA-3; ITGB3	TRUE
OMIM	173470	PLATELET GLYCOPROTEIN IIIa; GP3A	FALSE
OMIM	173470	GP IIIa	FALSE
OMIM	173470	PLATELET FIBRINOGEN RECEPTOR, BETA SUBUNIT	FALSE
OMIM	173470	CD61THROMBOCYTOPENIA, NEONATAL ALLOIMMUNE, INCLUDED; NAIT, INCLUDED	FALSE
OMIM	173470	POSTTRANSFUSION PURPURA, INCLUDED; PTP, INCLUDED	FALSE
OMIM	173600	PNEUMOTHORAX, PRIMARY SPONTANEOUS	TRUE
OMIM	173650	KINDLER SYNDROME; KNDLRS	TRUE
OMIM	173800	POLAND SYNDROME	TRUE
OMIM	173800	POLAND SYNDACTYLY	FALSE
OMIM	173800	POLAND ANOMALY	FALSE
OMIM	173800	POLAND SEQUENCEPECTORALIS MUSCLE, ABSENCE OF, INCLUDED	FALSE
OMIM	174000	MEDULLARY CYSTIC KIDNEY DISEASE 1; MCKD1	TRUE
OMIM	174770	ACTINIC PRURIGOPOLYMORPHIC LIGHT ERUPTION, HEREDITARY; HPLE	TRUE
OMIM	174770	JUVENILE SPRING ERUPTION OF EARS, INCLUDED	FALSE
OMIM	174800	MCCUNE-ALBRIGHT SYNDROME; MAS	TRUE
OMIM	174800	ALBRIGHT SYNDROMEPOLYOSTOTIC FIBROUS DYSPLASIA, INCLUDED; PFD, INCLUDED; POFD, INCLUDED	FALSE
OMIM	175100	FAMILIAL ADENOMATOUS POLYPOSIS 1; FAP1	TRUE
OMIM	175700	GREIG CEPHALOPOLYSYNDACTYLY SYNDROME	TRUE
OMIM	175780	BRAIN SMALL VESSEL DISEASE 1 WITH OR WITHOUT OCULAR ANOMALIES; BSVD1	TRUE
OMIM	176000	PORPHYRIA, ACUTE INTERMITTENT	TRUE
OMIM	176000	AIP	FALSE
OMIM	176000	PORPHYRIA, SWEDISH TYPE	FALSE
OMIM	176000	PORPHOBILINOGEN DEAMINASE DEFICIENCY	FALSE
OMIM	176000	PBGD DEFICIENCY	FALSE
OMIM	176000	UROPORPHYRINOGEN SYNTHASE DEFICIENCY	FALSE
OMIM	176000	UPS DEFICIENCYPORPHYRIA, ACUTE INTERMITTENT, NONERYTHROID VARIANT, INCLUDED	FALSE
OMIM	176000	PORPHYRIA, CHESTER TYPE, INCLUDED; PORC, INCLUDED	FALSE
OMIM	176100	PORPHYRIA CUTANEA TARDA	TRUE
OMIM	176270	PRADER-WILLI SYNDROME; PWS	TRUE
OMIM	176305	PREAXIAL DEFICIENCY, POSTAXIAL POLYDACTYLY, AND HYPOSPADIAS	TRUE
OMIM	176410	PRECOCIOUS PUBERTY, MALE-LIMITED	TRUE
OMIM	176450	CURRARINO SYNDROME	TRUE
OMIM	176690	PROGEROID SHORT STATURE WITH PIGMENTED NEVI	TRUE
OMIM	176860	THROMBOPHILIA, HEREDITARY, DUE TO PROTEIN C DEFICIENCY, AUTOSOMALDOMINANT	TRUE
OMIM	177200	LIDDLE SYNDROME 1; LIDLS1	TRUE
