db	id	label
OMIM	118220	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1A
OMIM	118230	CHARCOT-MARIE-TOOTH DISEASE, GUADALAJARA NEURONAL TYPE
OMIM	118301	CHARCOT-MARIE-TOOTH DISEASE WITH PTOSIS AND PARKINSONISM
OMIM	118430	CHLORPROPAMIDE-ALCOHOL FLUSHING; CPAF
OMIM	118450	ALAGILLE SYNDROME 1; ALGS1
OMIM	118800	PAROXYSMAL NONKINESIGENIC DYSKINESIA 1; PNKD1
OMIM	118865	CHOROIDAL OSTEOMA, BILATERAL
OMIM	119300	VAN DER WOUDE SYNDROME
OMIM	119500	POPLITEAL PTERYGIUM SYNDROME
OMIM	119600	CLEIDOCRANIAL DYSPLASIA; CCD
OMIM	120100	FAMILIAL COLD AUTOINFLAMMATORY SYNDROME 1
OMIM	120300	COLOBOMA OF MACULA
OMIM	120330	PAPILLORENAL SYNDROME
OMIM	121300	COPROPORPHYRIA, HEREDITARY; HCP
OMIM	121390	CORNEA GUTTATA WITH ANTERIOR POLAR CATARACTS
OMIM	122000	CORNEAL DYSTROPHY, POSTERIOR POLYMORPHOUS, 1
OMIM	122200	CORNEAL DYSTROPHY, LATTICE TYPE I
OMIM	122470	CORNELIA DE LANGE SYNDROME 1
OMIM	122580	COSTOCORACOID LIGAMENT, CONGENITALLY SHORT
OMIM	122600	SPONDYLOCOSTAL DYSOSTOSIS 5
OMIM	122860	CRANIODIAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT; CDD
OMIM	123000	CRANIOMETAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT
OMIM	123150	JACKSON-WEISS SYNDROME; JWS
OMIM	123450	CRI-DU-CHAT SYNDROME
OMIM	123570	CRYPTOPHTHALMOS, UNILATERAL OR BILATERAL, ISOLATED; CRYPTOP
OMIM	125250	OPTIC ATROPHY WITH OR WITHOUT DEAFNESS, OPHTHALMOPLEGIA, MYOPATHY, ATAXIA, AND NEUROPATHY
OMIM	125400	DENTIN DYSPLASIA, TYPE I; DTDP1
OMIM	125500	DENTINOGENESIS IMPERFECTA, SHIELDS TYPE III
OMIM	125595	DERMATOPATHIA PIGMENTOSA RETICULARIS; DPR
OMIM	125630	DERMODISTORTIVE URTICARIA
OMIM	125800	DIABETES INSIPIDUS, NEPHROGENIC, AUTOSOMAL
OMIM	126200	MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO
OMIM	126800	DUANE RETRACTION SYNDROME 1
OMIM	127000	KENNY-CAFFEY SYNDROME, TYPE 2; KCS2
OMIM	127300	LERI-WEILL DYSCHONDROSTEOSIS
OMIM	129400	RAPP-HODGKIN SYNDROME; RHS
OMIM	129900	ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND CLEFT LIP/PALATE SYNDROME1; EEC1
OMIM	130000	EHLERS-DANLOS SYNDROME, TYPE I
OMIM	130010	EHLERS-DANLOS SYNDROME, CLASSIC TYPE, 2; EDSCL2
OMIM	130050	EHLERS-DANLOS SYNDROME, VASCULAR TYPE; EDSVASC
OMIM	130090	EHLERS-DANLOS SYNDROME, AUTOSOMAL DOMINANT, TYPE UNSPECIFIED
OMIM	130650	BECKWITH-WIEDEMANN SYNDROME
OMIM	133100	ERYTHROCYTOSIS, FAMILIAL, 1; ECYT1
OMIM	133540	COCKAYNE SYNDROME, TYPE B; CSB
OMIM	133700	EXOSTOSES, MULTIPLE, TYPE I
OMIM	133701	EXOSTOSES, MULTIPLE, TYPE II
OMIM	133780	EXUDATIVE VITREORETINOPATHY 1; EVR1
OMIM	134000	FACIAL HYPERTRICHOSIS
OMIM	134540	FACTOR IX AND FACTOR XI, COMBINED DEFICIENCY OF
OMIM	134610	FAMILIAL MEDITERRANEAN FEVER, AUTOSOMAL DOMINANT
OMIM	135150	BIRT-HOGG-DUBE SYNDROME
OMIM	135500	ZIMMERMANN-LABAND SYNDROME 1
OMIM	135700	FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 1; CFEOM1
OMIM	135900	COFFIN-SIRIS SYNDROME 1; CSS1
OMIM	136480	FOURTH CRANIAL NERVE PALSY, FAMILIAL CONGENITAL
OMIM	136680	FRASIER SYNDROME
OMIM	137575	GIGANTIFORM CEMENTOMA, FAMILIAL
OMIM	137940	HYPOTRICHOSIS-LYMPHEDEMA-TELANGIECTASIA-RENAL DEFECT SYNDROME; HLTRS
OMIM	138770	GMS SYNDROME
OMIM	138800	GOITER, MULTINODULAR 1
OMIM	139500	HAIRY EARS
OMIM	140000	HAND-FOOT-GENITAL SYNDROME; HFG
OMIM	140700	HEINZ BODY ANEMIAS
OMIM	141300	HEMIFACIAL ATROPHY, PROGRESSIVE; HFA
OMIM	141500	MIGRAINE, FAMILIAL HEMIPLEGIC, 1; FHM1
OMIM	141700	HEMOLYTIC POIKILOCYTIC ANEMIA DUE TO REDUCED ANKYRIN BINDING SITES
OMIM	141750	ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, CHROMOSOME 16-RELATED
OMIM	142625	HIRSUTISM, SKELETAL DYSPLASIA, AND MENTAL RETARDATION
OMIM	143850	ORTHOSTATIC HYPOTENSIVE DISORDER, STREETEN TYPE
OMIM	143890	HYPERCHOLESTEROLEMIA, FAMILIAL
OMIM	144010	HYPERCHOLESTEROLEMIA, AUTOSOMAL DOMINANT, TYPE B
OMIM	144300	HYPERLIPOPROTEINEMIA, TYPE II, AND DEAFNESS
OMIM	144600	HYPERLIPOPROTEINEMIA, TYPE IV
OMIM	144750	ENDOSTEAL HYPEROSTOSIS, AUTOSOMAL DOMINANT
OMIM	144755	HYPEROSTOSIS CRANIALIS INTERNA; HCIN
OMIM	145001	HYPERPARATHYROIDISM 2
OMIM	145260	PSEUDOHYPOALDOSTERONISM, TYPE II
OMIM	145410	OPITZ GBBB SYNDROME, TYPE II; GBBB2
OMIM	145750	HYPERTRIGLYCERIDEMIA, FAMILIAL
OMIM	145900	HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS
OMIM	146255	HYPOPARATHYROIDISM, SENSORINEURAL DEAFNESS, AND RENAL DISEASE
OMIM	146500	MULTIPLE SYSTEM ATROPHY 1, SUSCEPTIBILITY TO; MSA1
OMIM	146840	IMMUNODEFICIENCY WITH DEFECTIVE LEUKOCYTE AND LYMPHOCYTE FUNCTION AND WITH RESPONSE TO HISTAMINE-1 ANTAGONIST
OMIM	147300	INCISORS, LONG UPPER CENTRAL
OMIM	148210	KERATITIS-ICHTHYOSIS-DEAFNESS SYNDROME, AUTOSOMAL DOMINANT
OMIM	148730	KERATOSIS, FOCAL PALMOPLANTAR AND GINGIVAL
OMIM	148820	WAARDENBURG SYNDROME, TYPE 3; WS3
OMIM	149700	LACRIMAL DUCT DEFECT
OMIM	149730	LACRIMOAURICULODENTODIGITAL SYNDROME; LADD
OMIM	150230	TRICHORHINOPHALANGEAL SYNDROME, TYPE II
OMIM	150250	LARSEN SYNDROME; LRS
OMIM	150590	LEG ULCERS, FAMILIAL, OF JUVENILE ONSET
OMIM	150699	LEIOMYOMA, UTERINE; UL
OMIM	150800	HEREDITARY LEIOMYOMATOSIS AND RENAL CELL CANCER; HLRCC
OMIM	151050	LENZ-MAJEWSKI HYPEROSTOTIC DWARFISM
OMIM	151100	LEOPARD SYNDROME 1
OMIM	151200	CHROMOSOME 8q22.1 DUPLICATION SYNDROME
OMIM	151380	LEUKEMIA, ACUTE MONOCYTIC
OMIM	151400	LEUKEMIA, CHRONIC LYMPHOCYTIC; CLL
OMIM	151660	LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 2
OMIM	153470	MACROCEPHALY, BENIGN FAMILIAL
OMIM	153480	BANNAYAN-RILEY-RUVALCABA SYNDROME
OMIM	153550	CHROMOSOME 5Q DELETION SYNDROME
OMIM	153640	FECHTNER SYNDROME
OMIM	154400	ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1
OMIM	154500	TREACHER COLLINS-FRANCESCHETTI SYNDROME
OMIM	154780	MARSHALL SYNDROME; MRSHS
OMIM	155100	MACROTHROMBOCYTOPENIA AND GRANULOCYTE INCLUSIONS WITH OR WITHOUT NEPHRITIS OR SENSORINEURAL HEARING LOSS; MATINS
OMIM	155310	VISCERAL MYOPATHY; VSCM
OMIM	155600	MELANOMA, CUTANEOUS MALIGNANT
OMIM	156200	MENTAL RETARDATION, AUTOSOMAL DOMINANT 1; MRD1CHROMOSOME 2q23.1 DELETION SYNDROME, INCLUDED
OMIM	156550	KNIEST DYSPLASIA
OMIM	156580	MICROCEPHALY, AUTOSOMAL DOMINANT
OMIM	157170	HOLOPROSENCEPHALY 2; HPE2
OMIM	157300	MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1
OMIM	157900	MOEBIUS SYNDROME; MBS
OMIM	158310	MUCOEPITHELIAL DYSPLASIA, HEREDITARY
OMIM	158650	MUSCULAR ATROPHY, MALIGNANT NEUROGENIC
OMIM	159550	MYELOCEREBELLAR DISORDER
OMIM	159580	MYELOPATHY, HTLV-1-ASSOCIATED
OMIM	159900	DYSTONIA 11, MYOCLONIC
OMIM	160900	MYOTONIC DYSTROPHY 1
OMIM	161200	NAIL-PATELLA SYNDROME
OMIM	161400	NARCOLEPSY 1; NRCLP1
OMIM	161700	NECROTIZING ENCEPHALOMYELOPATHY, SUBACUTE, OF LEIGH, ADULT
OMIM	161950	IgA NEPHROPATHY, SUSCEPTIBILITY TO, 1; IGAN1
OMIM	162100	AMYOTROPHY, HEREDITARY NEURALGIC; HNA
OMIM	162200	NEUROFIBROMATOSIS, TYPE I
OMIM	162240	NEUROFIBROMATOSIS-PHEOCHROMOCYTOMA-DUODENAL CARCINOID SYNDROME
OMIM	162350	CEROID LIPOFUSCINOSIS, NEURONAL, 4B, AUTOSOMAL DOMINANT; CLN4B
OMIM	162400	NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IA; HSAN1A
OMIM	162820	NEUTROPHIL CHEMOTACTIC RESPONSE
OMIM	162900	NEVUS, KERATINOCYTIC, NONEPIDERMOLYTIC
OMIM	163200	SCHIMMELPENNING-FEUERSTEIN-MIMS SYNDROME; SFM
OMIM	163400	NIEVERGELT SYNDROME
OMIM	163950	NOONAN SYNDROME 1; NS1
OMIM	164180	OCULOCEREBROCUTANEOUS SYNDROME
OMIM	164280	FEINGOLD SYNDROME 1; FGLDS1
OMIM	164330	ODONTOMA-DYSPHAGIA SYNDROME
OMIM	164400	SPINOCEREBELLAR ATAXIA 1
OMIM	164500	SPINOCEREBELLAR ATAXIA 7 OPCA III OPCA WITH RETINAL DEGENERATION OPCA WITH MACULAR DEGENERATION AND EXTERNAL OPHTHALMOPLEGIA AUTOSOMAL DOMINANT CEREBELLAR ATAXIA, TYPE II ADCA, TYPE II
OMIM	165500	OPTIC ATROPHY 1; OPA1
OMIM	165600	ORBITAL MARGIN, HYPOPLASIA OF
OMIM	166210	OSTEOGENESIS IMPERFECTA, TYPE IIA
OMIM	166250	OSTEOGLOPHONIC DYSPLASIA; OGD
OMIM	166300	MULTICENTRIC CARPOTARSAL OSTEOLYSIS SYNDROME; MCTO
OMIM	166400	OSTEOMAS OF MANDIBLE
OMIM	166705	OSTEOPOIKILOSIS AND DACRYOCYSTITIS
OMIM	166780	OTOFACIOCERVICAL SYNDROME
OMIM	167730	NASOPALPEBRAL LIPOMA-COLOBOMA SYNDROME; NPLCS
OMIM	167800	PANCREATITIS, HEREDITARY
OMIM	168000	PARAGANGLIOMAS 1
OMIM	170650	PERIODONTITIS, AGGRESSIVE, 1
OMIM	171000	PEYRONIE DISEASE
OMIM	171300	PHEOCHROMOCYTOMA
OMIM	171400	MULTIPLE ENDOCRINE NEOPLASIA, TYPE IIA; MEN2A
OMIM	171420	PHEOCHROMOCYTOMA--ISLET CELL TUMOR SYNDROME
OMIM	171450	PHLEBECTASIA OF LIPS
OMIM	172500	PHOTOMYOCLONUS, DIABETES MELLITUS, DEAFNESS, NEPHROPATHY, AND CEREBRALDYSFUNCTION
OMIM	172700	PICK DISEASE OF BRAIN
OMIM	173100	ISOLATED GROWTH HORMONE DEFICIENCY, TYPE II; IGHD2
OMIM	173470	+173470 INTEGRIN, BETA-3; ITGB3
OMIM	173600	PNEUMOTHORAX, PRIMARY SPONTANEOUS
OMIM	173650	KINDLER SYNDROME; KNDLRS
OMIM	173800	POLAND SYNDROME
OMIM	174000	MEDULLARY CYSTIC KIDNEY DISEASE 1; MCKD1
OMIM	174770	ACTINIC PRURIGOPOLYMORPHIC LIGHT ERUPTION, HEREDITARY; HPLE
OMIM	174800	MCCUNE-ALBRIGHT SYNDROME; MAS
OMIM	175100	FAMILIAL ADENOMATOUS POLYPOSIS 1; FAP1
OMIM	175700	GREIG CEPHALOPOLYSYNDACTYLY SYNDROME
OMIM	175780	BRAIN SMALL VESSEL DISEASE 1 WITH OR WITHOUT OCULAR ANOMALIES; BSVD1
OMIM	176000	PORPHYRIA, ACUTE INTERMITTENT
OMIM	176100	PORPHYRIA CUTANEA TARDA
OMIM	176270	PRADER-WILLI SYNDROME; PWS
OMIM	176305	PREAXIAL DEFICIENCY, POSTAXIAL POLYDACTYLY, AND HYPOSPADIAS
OMIM	176410	PRECOCIOUS PUBERTY, MALE-LIMITED
OMIM	176450	CURRARINO SYNDROME
OMIM	176690	PROGEROID SHORT STATURE WITH PIGMENTED NEVI
OMIM	176860	THROMBOPHILIA, HEREDITARY, DUE TO PROTEIN C DEFICIENCY, AUTOSOMALDOMINANT
OMIM	177200	LIDDLE SYNDROME 1; LIDLS1
OMIM	177735	PSEUDOHYPOALDOSTERONISM, TYPE I, AUTOSOMAL DOMINANT; PHA1A
OMIM	178000	PTERYGIUM OF CONJUNCTIVA AND CORNEA
OMIM	178110	CONTRACTURES, PTERYGIA, AND VARIABLE SKELETAL FUSIONS SYNDROME 1A; CPSKF1A
OMIM	178600	PULMONARY HYPERTENSION, PRIMARY, 1; PPH1
OMIM	178610	PULMONARY NODULAR LYMPHOID HYPERPLASIA, FAMILIAL
OMIM	179830	RENAL TUBULAR ACIDOSIS, PROXIMAL
OMIM	180000	RETINAL ARTERIES, TORTUOSITY OF
OMIM	180200	RETINOBLASTOMA; RB1
OMIM	180500	AXENFELD-RIEGER SYNDROME, TYPE 1; RIEG1
OMIM	180550	RING DERMOID OF CORNEA; RDC
OMIM	180700	ROBINOW SYNDROME, AUTOSOMAL DOMINANT; DRS
OMIM	180849	RUBINSTEIN-TAYBI SYNDROME 1; RSTS1
OMIM	180870	RUVALCABA SYNDROME
OMIM	180920	APLASIA OF LACRIMAL AND SALIVARY GLANDS
OMIM	181000	SARCOIDOSIS, SUSCEPTIBILITY TO, 1; SS1
OMIM	181180	SAY SYNDROME
OMIM	182210	SHPRINTZEN OMPHALOCELE SYNDROME
OMIM	182250	SINGLETON-MERTEN SYNDROME 1; SGMRT1
OMIM	182690	SPASTIC PARAPLEGIA, SENSORINEURAL DEAFNESS, MENTAL RETARDATION, AND
OMIM	183090	SPINOCEREBELLAR ATAXIA 2; SCA2
OMIM	183400	SPLIT LOWER LIP
OMIM	183802	SPLIT-HAND WITH OBSTRUCTIVE UROPATHY, SPINA BIFIDA, AND DIAPHRAGMATICDEFECTS
OMIM	184253	SPONDYLOMETAPHYSEAL DYSPLASIA, ALGERIAN TYPE
OMIM	184460	STAPES ANKYLOSIS WITH BROAD THUMB AND TOES
OMIM	184850	STIFF-PERSON SYNDROME; SPS
OMIM	185700	SYMPHALANGISM, DISTAL
OMIM	185750	SYMPHALANGISM WITH MULTIPLE ANOMALIES OF HANDS AND FEET
OMIM	185800	SYMPHALANGISM, PROXIMAL, 1A; SYM1A
OMIM	185900	CHROMOSOME 2q35 DUPLICATION SYNDROME
OMIM	186000	SYNPOLYDACTYLY 1
OMIM	186200	SYNDACTYLY, TYPE IV; SDTY4
OMIM	186300	SYNDACTYLY, TYPE V
OMIM	186350	SYNDACTYLY-POLYDACTYLY-EARLOBE SYNDROME
OMIM	186500	MULTIPLE SYNOSTOSES SYNDROME 1; SYNS1
OMIM	186570	TARSAL-CARPAL COALITION SYNDROME; TCC; SYNOSTOSIS OF TALUS AND CALCANEUS WITH SHORT STATURE, INCLUDED
OMIM	186580	BLAU SYNDROME
OMIM	187300	TELANGIECTASIA, HEREDITARY HEMORRHAGIC, OF RENDU, OSLER, AND WEBER;HHT
OMIM	187400	TESTICULAR TORSION
OMIM	187600	THANATOPHORIC DYSPLASIA, TYPE I
OMIM	187601	THANATOPHORIC DYSPLASIA, TYPE II
OMIM	188400	DIGEORGE SYNDROME; DGS
OMIM	190320	TRICHODENTOOSSEOUS SYNDROME
OMIM	190350	TRICHORHINOPHALANGEAL SYNDROME, TYPE I
OMIM	190351	TRICHORHINOPHALANGEAL SYNDROME, TYPE III; TRPS3
OMIM	190685	DOWN SYNDROMETRISOMY 21, INCLUDED
OMIM	190900	TRITANOPIA
OMIM	191482	UNCOMBABLE HAIR, RETINAL PIGMENTARY DYSTROPHY, DENTAL ANOMALIES, ANDBRACHYDACTYLY
OMIM	191650	URETEROCELE
OMIM	191830	RENAL HYPODYSPLASIA/APLASIA 1; RHDA1
OMIM	191900	MUCKLE-WELLS SYNDROME; MWS
OMIM	192315	VASCULOPATHY, RETINAL, WITH CEREBRAL LEUKODYSTROPHY; RVCL
OMIM	192430	VELOCARDIOFACIAL SYNDROME
OMIM	192600	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 1; CMH1
OMIM	193400	VON WILLEBRAND DISEASE, TYPE 1; VWD1
OMIM	193520	WATSON SYNDROME
OMIM	193530	WEYERS ACROFACIAL DYSOSTOSIS
OMIM	193700	ARTHROGRYPOSIS, DISTAL, TYPE 2A
OMIM	194050	WILLIAMS-BEUREN SYNDROME; WBS
OMIM	194080	DENYS-DRASH SYNDROME; DDS
OMIM	194190	WOLF-HIRSCHHORN SYNDROME; WHS
OMIM	194350	WT LIMB-BLOOD SYNDROME
OMIM	200110	ABLEPHARON-MACROSTOMIA SYNDROME
OMIM	200600	ACHONDROGENESIS, TYPE IA; ACG1A
OMIM	200610	ACHONDROGENESIS, TYPE II; ACG2
OMIM	200700	CHONDRODYSPLASIA, GREBE TYPE
OMIM	200980	ACRORENAL-MANDIBULAR SYNDROME
OMIM	201100	ACRODERMATITIS ENTEROPATHICA, ZINC-DEFICIENCY TYPE
OMIM	201170	ACROFACIAL DYSOSTOSIS SYNDROME OF RODRIGUEZ
OMIM	201180	ACROFRONTOFACIONASAL DYSOSTOSIS 1
OMIM	201300	NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE II
OMIM	201475	ACYL-COA DEHYDROGENASE, VERY LONG-CHAIN, DEFICIENCY OF
OMIM	201710	LIPOID CONGENITAL ADRENAL HYPERPLASIA
OMIM	201750	ANTLEY-BIXLER SYNDROME WITH GENITAL ANOMALIES AND DISORDERED STEROIDOGENESIS; ABS1
OMIM	201910	ADRENAL HYPERPLASIA, CONGENITAL, DUE TO 21-HYDROXYLASE DEFICIENCY
OMIM	202010	ADRENAL HYPERPLASIA, CONGENITAL, DUE TO STEROID 11-BETA-HYDROXYLASEDEFICIENCY
OMIM	202110	ADRENAL HYPERPLASIA, CONGENITAL, DUE TO 17-ALPHA-HYDROXYLASE DEFICIENCY
OMIM	203500	ALKAPTONURIA
OMIM	204000	LEBER CONGENITAL AMAUROSIS, TYPE I
OMIM	204100	LEBER CONGENITAL AMAUROSIS, TYPE II
OMIM	204200	CEROID LIPOFUSCINOSIS, NEURONAL, 3; CLN3
OMIM	204300	CEROID LIPOFUSCINOSIS, NEURONAL, 4A, AUTOSOMAL RECESSIVE
OMIM	204500	CEROID LIPOFUSCINOSIS, NEURONAL, 2
OMIM	205100	AMYOTROPHIC LATERAL SCLEROSIS 2, JUVENILE; ALS2
OMIM	206300	ANEMIA, NONSPHEROCYTIC HEMOLYTIC, ASSOCIATED WITH ABNORMALITY OF REDCELL MEMBRANE
OMIM	206400	ANEMIA, NONSPHEROCYTIC HEMOLYTIC, POSSIBLY DUE TO DEFECT IN PORPHYRINMETABOLISM
OMIM	206570	ANGIOMATOSIS, DIFFUSE CORTICOMENINGEAL, OF DIVRY AND VAN BOGAERT
OMIM	206920	MICROPHTHALMIA WITH LIMB ANOMALIES
OMIM	207410	ANTLEY-BIXLER SYNDROME WITHOUT GENITAL ANOMALIES OR DISORDERED STEROIDOGENESIS; ABS2
OMIM	207731	APLASIA CUTIS CONGENITA WITH INTESTINAL LYMPHANGIECTASIA
OMIM	207750	APOLIPOPROTEIN C-II DEFICIENCY
OMIM	207900	ARGININOSUCCINIC ACIDURIA
OMIM	208000	ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 1; GACI1
OMIM	208050	ARTERIAL TORTUOSITY SYNDROME
OMIM	208080	ARTHROGRYPOSIS, DISTAL, WITH HYPOPITUITARISM, MENTAL RETARDATION,AND FACIAL ANOMALIES
OMIM	208150	FETAL AKINESIA DEFORMATION SEQUENCE; FADS
OMIM	208155	ARTHROGRYPOSIS MULTIPLEX CONGENITA WITH WHISTLING FACE
OMIM	208400	ASPARTYLGLUCOSAMINURIA; AGU
OMIM	208530	ASPLENIA WITH CARDIOVASCULAR ANOMALIES
OMIM	208540	RENAL-HEPATIC-PANCREATIC DYSPLASIA; RHPD
OMIM	208900	ATAXIA-TELANGIECTASIA; AT
OMIM	208910	ATAXIA-TELANGIECTASIA WITH GENERALIZED SKIN PIGMENTATION AND EARLY DEATH
OMIM	208920	ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA; EAOH
OMIM	209010	ATHEROSCLEROSIS, PREMATURE, WITH DEAFNESS, NEPHROPATHY, DIABETES MELLITUS,PHOTOMYOCLONUS, AND DEGENERATIVE NEUROLOGIC DISEASE
OMIM	209850	AUTISM
OMIM	209885	BARBER-SAY SYNDROME; BBRSAY
OMIM	209900	BARDET-BIEDL SYNDROME 1; BBS1
OMIM	210550	BILIARY MALFORMATION WITH RENAL TUBULAR INSUFFICIENCY
OMIM	210900	BLOOM SYNDROME
OMIM	211380	ELSAHY-WATERS SYNDROME; ESWS
OMIM	211750	C SYNDROME
OMIM	211910	CAMPTODACTYLY SYNDROME, GUADALAJARA, TYPE I; GCS1
OMIM	211920	CAMPTODACTYLY SYNDROME, GUADALAJARA, TYPE II
OMIM	212065	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ia; CDG1A
OMIM	212066	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIa; CDG2A
OMIM	212130	CARDIOMYOPATHY ASSOCIATED WITH MYOPATHY AND SUDDEN DEATH
OMIM	212360	PALMOPLANTAR KERATODERMA AND CONGENITAL ALOPECIA 2; PPKCA2
OMIM	212500	CATARACT, CONGENITAL OR JUVENILECATARACT, JUVENILE, HUTTERITE TYPE, INCLUDED
OMIM	212840	CEREBELLAR ATAXIA AND HYPOGONADOTROPIC HYPOGONADISM; CAHH
OMIM	213010	CEREBELLAR VERMIS APLASIA WITH ASSOCIATED FEATURES SUGGESTING SMITH-LEMLI-OPITZSYNDROME AND MECKEL SYNDROME
OMIM	213300	JOUBERT SYNDROME 1
OMIM	213980	CRANIOFACIAL DYSMORPHISM, SKELETAL ANOMALIES, AND MENTAL RETARDATION SYNDROME
